Absorption wavelength (nm), Intensity
296.62,0.0004
248.97,0.0147
277.95,0.0988
238.26,0.0172
263.03,0.0605
342.99,0.0006
424.26,0.0562
351.4,0.0021
268.45,0.0008
348,0.0892
251.25,0.0039
254.97,0.004
308.65,0.2458
247.95,0.0598
313.32,0.0027
322.57,0.0003
218.29,0.0025
264.1,0.5368
248.75,0.0142
304.35,0.1416
247.48,0.0362
408.43,0.6616
447.56,0
238.89,0.0174
262.74,0.0293
275.96,0.0001
279.24,0.2696
244.67,0.022
255,0.0406
247.14,0.0039
500.95,0
283.06,0.0009
244.05,0.0453
366.81,0.0069
310.08,0.0002
295.99,0.4327
275.04,0.0025
240.2,0.0003
249.49,0.0306
271.56,0.0001
316.86,0.1027
273.73,0.0794
343.28,0.2855
338.5,0.0105
264.82,0.1366
353.68,0.0371
330,0.0004
244.62,0.0479
309.75,0.0031
271.29,0.3899
488.49,0.0483
256.18,0.007
244.6,0.0071
340.4,0.002
247.03,0.0374
329.96,0.2263
223.53,0.0008
253.64,0.0046
310.95,0.005
330.89,0.0067
263.39,0.0707
417.28,0
306.84,0.1413
281.64,0.0053
267.23,0.117
268.39,0.0004
228.07,0.0042
319.25,0.0006
184.58,0.0005
371.74,0.0116
269.9,0.0139
246.24,0.0415
291.28,0.0001
296.85,0.2756
281.74,0.0536
288.53,0.3329
318.33,0.0017
344.52,0.0825
323.52,0.0405
258.73,0.0108
236.93,0.0051
237.28,0.0984
321.66,0.1341
321.85,0.2128
319.97,0.0007
319.91,0.558
263.9,0.0605
299.27,0.1046
396.02,0.0638
312.54,0.007
323.18,0.0043
311.09,0
254.45,0.0799
289.14,0.0005
328.37,0.0001
268.95,0.0544
361.2,0.0192
241.67,0.0364
253.68,0.0675
322.27,0.8318
260.14,0.0253
344.74,0.0378
245.44,0.0433
205.62,0.0041
337.4,0.0009
254.38,0.0003
312.77,0.4469
269.87,0.0006
296.06,0.2038
244.02,0.0017
266.58,0.0101
270.28,0.02
260.43,0.0017
313.82,0.3121
285.05,0.0626
435.7,0.0287
343.19,0.0809
221.76,0.0041
204.67,0.0085
314.32,0.0075
328.37,0.0008
265.98,0.1258
337.69,0.0243
270.31,0.0007
346.42,0.0015
293.26,0.7798
259.47,0.0291
287.24,0.0015
222.73,0.0038
219.06,0.0141
237.13,0.0085
313.81,0.0688
289.01,0.001
257.99,0.0094
242.31,0.03
276.54,0.3093
307.45,0.3361
263.31,0.0022
343.23,0.0037
232.76,0.0008
361.22,0.0029
392.47,0.0806
319.3,0.0863
354.17,0.0008
337.22,0.0955
243.48,0.0332
409.03,0.0039
265.08,0.0901
328.77,0.1338
262.47,0.0233
292,0.1556
351.2,0.0902
343.11,0.0001
366.99,0.0023
278.17,0.0562
380.44,0.0046
297.77,0.5382
261.37,0.0008
266.75,0.0026
394.22,0.0031
265.68,0.0572
261.95,0.0184
228.59,0.0002
295.88,0.1852
258.19,0.0273
268.8,0.1619
307.76,0.0057
285.01,0.11
273.34,0.08
272.62,0.0008
265.94,0.2569
307.13,0.0584
300.59,0.2992
338.11,0.1585
282.14,0.0076
335.9,0.0192
241,0.0051
237.51,0.0038
301.31,0.2542
475.99,0.0084
272.07,0.0024
251.36,0.0436
303.06,0.0002
349.17,0.1264
248.78,0.0469
377.28,0.0022
259.27,0.0032
307.95,0
274.78,0.0369
339.94,0.0963
375.85,0.0001
266.36,0.0087
306.48,0.0115
233.94,0.0041
313.16,0.2359
217.73,0.0309
310.86,0.0025
310.75,0.0001
348.99,0.0025
261.25,0.0454
343.58,0.6912
306.62,0.2628
343.11,0.0029
295.66,0.4409
223.76,0.0039
262.05,0.0099
251.78,0.0001
256.75,0.0038
253.02,0.0044
364.77,0.0036
432.81,0.0374
361.84,0.0185
223.07,0.0016
336.64,0.0108
341.5,0.0041
287.77,0.1069
300.68,0.0228
338.25,0.0531
342.15,0.1997
281.25,0.0708
305.85,0.2905
374.31,0.0365
289.27,0.0258
262.9,0.1497
328.54,0.1008
223.46,0.0049
336.61,0
305.49,0.0958
309.81,0.2201
358.98,0.1052
288.63,0.0003
233.13,0.0163
302.49,0.0051
225.5,0.0252
286.5,0.0303
268.68,0.0033
306.51,0.0107
246.88,0.0877
292.41,0.0001
306.8,0.0107
264.4,0.096
245.27,0.0008
279.92,0.005
264.16,0.1771
324.48,0.8246
317.78,0.4
239.37,0.0152
269.75,0.0075
364.33,0.1415
284.06,0.0008
184.81,0.0016
265.81,0.0029
340.65,1.28
242.98,0.0605
347.02,0.0051
296.97,0.0003
284.22,0.0811
259.24,0.0011
258.17,0.4477
330.93,0.0002
226.23,0
303.17,0.2589
241.1,0.0172
326.55,0.1061
183.42,0.0176
290.36,0.0008
240.72,0.0262
345.52,0.1261
250.37,0.1369
302.79,0.2056
313.3,0.1022
343.46,0.71
257.17,0.0339
337.13,0.0049
326.76,0.0686
369.93,0.0008
301.77,0.0007
307.58,0.2318
248.57,0.0524
255.19,0.0248
203.63,0.0628
333.13,0.0372
279.44,0.0076
309.8,0.002
219.1,0.0024
340.36,0.0068
272.01,0.0016
356.15,1.0791
248.11,0.0479
250.2,0.0447
341.45,0.0004
274.6,0.0817
266.83,0.1499
302.37,0.0126
247.42,0.0448
229.23,0.0003
350.93,0.0364
387.19,0.1204
331.76,0.1294
262.67,0.014
307.03,0.0381
296.19,0.5095
339.63,0.0004
263.13,0.0261
317.06,0.034
278.77,0.0634
230.91,0.0052
218.65,0.0007
252.69,0.1447
324.77,0.4026
253.84,0.0619
421.05,0.0115
284.72,0.0055
304.15,0.303
241.63,0.0206
269.39,0.1681
264.23,0.0939
274.72,0.4518
495.98,0.0006
406.07,0.0026
330.24,0.0281
301.74,0.0674
320.87,0.0037
306.59,0.2663
320.45,0.0003
216.86,0.0003
267.91,0.0217
235.88,0.0002
267.4,0.2413
276.49,0.5896
279.97,0.0116
373.53,0.1254
370.17,0.0005
289.73,0.1158
308.85,0.129
283.4,0.0005
296.69,0.0004
282.12,0.0134
240.24,0.1517
278.04,0.1263
302.53,0.4111
298.65,0.1274
293.95,0.0304
259.32,0.0274
258.44,0.0148
291.02,0.1127
262.97,0.0036
292.03,0.0581
312.19,0.0001
249.05,0.0452
334.4,0.194
